linkSource,linkTarget
Introduction,Wikipedia graph structure
Wikipedia graph structure,Power of the first links
Wikipedia graph structure,HITS scores
Wikipedia graph structure,PageRank
HITS scores,Power of the first links
HITS scores,PageRank
HITS scores,Wikipedia graph structure
HITS scores,HITS_stanford
HITS scores,CC License
HITS scores,HITS wikipedia
PageRank,Power of the first links
PageRank,HITS scores
PageRank,Wikipedia graph structure
PageRank,CC License
PageRank,PageRank wikipedia
PageRank,PR References
Wikipedia graph structure,USA
Power of the first links,General player behaviour
Power of the first links,lead section
Power of the first links,mean and var
link section,Power of the first links
link section,General player behaviour
link section,Venn Diagram wikipedia
mean and median,Power of the first links
mean and median,Box plots
mean and median,General player behaviour
General player behaviour,Lazy players
General player behaviour,Wikipedia graph structure
General player behaviour,HITS scores
General player behaviour,Pearson wikipedia
General player behaviour,USA
Lazy players,fast/slow navigation
Lazy players,fun fact
Lazy players,Huge set
Huge set,fast/slow navigation
Huge set,General player behaviour
Huge set,Lazy players
Lazy players,USA
fast/slow navigation,"Experimental Setup, Model Results and Subgraphs"
fast/slow navigation,Good
fast/slow navigation,Christopher Columbus
fast/slow navigation,try
"Experimental Setup, Model Results and Subgraphs",Are players faster on a subset of wikipedia?
"Experimental Setup, Model Results and Subgraphs",Wikipedia
"Experimental Setup, Model Results and Subgraphs",DL Model
DL Model,"Experimental Setup, Model Results and Subgraphs"
"Experimental Setup, Model Results and Subgraphs",BERT
"Experimental Setup, Model Results and Subgraphs",Sheep
"Experimental Setup, Model Results and Subgraphs",Christopher Columbus
Are players faster on a subset of wikipedia?,conclusion